family,coverage,score_threshold,d_cal_mean_d_tip,d_cal_severe_risk,d_cal_hb_ucb,d_cal_eligible_coverage,passes
oriented_rcnn_r50_fpn_le90,0.9,0.07119996845722198,0.04155400829888231,0.0,0.049667585528931274,0.9963235294117647,True
oriented_rcnn_r50_fpn_le90,0.85,0.08261503279209137,0.04136492478646723,0.0,0.049667585528931274,0.9926470588235294,True
oriented_rcnn_r50_fpn_le90,0.8,0.09879764169454575,0.041237333460066555,0.0,0.049667585528931274,0.9852941176470589,True
oriented_rcnn_r50_fpn_le90,0.75,0.12904906272888184,0.041237333460066555,0.0,0.049667585528931274,0.9852941176470589,True
oriented_rcnn_r50_fpn_le90,0.7,0.16770902276039124,0.04136782051751588,0.0,0.049667585528931274,0.9779411764705882,True
oriented_rcnn_lsknet_s_fpn_le90,0.9,0.08366911113262177,0.03981362730667445,0.0,0.049667585528931274,1.0,True
oriented_rcnn_lsknet_s_fpn_le90,0.85,0.10612805187702179,0.03981362730667445,0.0,0.049667585528931274,1.0,True
oriented_rcnn_lsknet_s_fpn_le90,0.8,0.12843361496925354,0.03981362730667445,0.0,0.049667585528931274,1.0,True
oriented_rcnn_lsknet_s_fpn_le90,0.75,0.16968148946762085,0.03906996628876956,0.0,0.049667585528931274,0.9890510948905109,True
oriented_rcnn_lsknet_s_fpn_le90,0.7,0.22511082887649536,0.03888202513485412,0.0,0.049667585528931274,0.9817518248175182,True
rotated_rtmdet_s_fpn_le90,0.9,0.05397675186395645,0.04161826078208512,0.0,0.049667585528931274,1.0,True
rotated_rtmdet_s_fpn_le90,0.85,0.05626954510807991,0.04161826078208512,0.0,0.049667585528931274,1.0,True
rotated_rtmdet_s_fpn_le90,0.8,0.058755140751600266,0.04161826078208512,0.0,0.049667585528931274,1.0,True
rotated_rtmdet_s_fpn_le90,0.75,0.06196226552128792,0.04161826078208512,0.0,0.049667585528931274,1.0,True
rotated_rtmdet_s_fpn_le90,0.7,0.06655872613191605,0.04161826078208512,0.0,0.049667585528931274,1.0,True
